state_name,district_name,year_month,gw_level_m_bgl
arunachal pradesh,changlang,2014-03,3.375
arunachal pradesh,changlang,2014-08,0.8825000000000001
arunachal pradesh,changlang,2014-11,3.2725
arunachal pradesh,changlang,2015-01,3.7725
arunachal pradesh,changlang,2015-03,3.0975
arunachal pradesh,changlang,2015-08,1.0566666666666666
arunachal pradesh,changlang,2015-11,3.1675
arunachal pradesh,changlang,2016-01,4.0
arunachal pradesh,changlang,2016-03,3.23
arunachal pradesh,changlang,2016-11,4.335
arunachal pradesh,changlang,2017-01,4.1825
arunachal pradesh,changlang,2017-03,2.966666666666667
arunachal pradesh,changlang,2017-08,1.2975
arunachal pradesh,changlang,2017-11,2.71
arunachal pradesh,changlang,2018-01,3.635
arunachal pradesh,changlang,2018-03,3.245
arunachal pradesh,changlang,2018-08,2.2875
arunachal pradesh,changlang,2018-11,4.1075
arunachal pradesh,changlang,2019-01,4.6
arunachal pradesh,changlang,2019-08,2.5825
arunachal pradesh,changlang,2019-11,2.69
arunachal pradesh,changlang,2020-01,4.163333333333333
arunachal pradesh,changlang,2020-11,2.9
arunachal pradesh,changlang,2021-01,3.9025
arunachal pradesh,east siang,2013-01,6.2075
arunachal pradesh,east siang,2013-03,3.24
arunachal pradesh,east siang,2013-08,5.0
arunachal pradesh,east siang,2013-11,7.4
arunachal pradesh,east siang,2014-01,6.41
arunachal pradesh,east siang,2014-03,8.143333333333333
arunachal pradesh,east siang,2014-11,6.53
arunachal pradesh,east siang,2015-01,6.135000000000001
arunachal pradesh,east siang,2015-03,10.54
arunachal pradesh,east siang,2015-08,3.41
arunachal pradesh,east siang,2015-11,4.7275
arunachal pradesh,east siang,2016-01,2.275
arunachal pradesh,east siang,2016-03,8.093333333333334
arunachal pradesh,east siang,2016-08,3.75
arunachal pradesh,east siang,2016-11,5.84
arunachal pradesh,east siang,2017-01,7.303333333333334
arunachal pradesh,east siang,2017-03,10.635
arunachal pradesh,east siang,2017-08,2.02
arunachal pradesh,east siang,2017-11,3.955
arunachal pradesh,east siang,2018-01,7.37
arunachal pradesh,east siang,2018-03,11.16
